datetime,battery_power,battery_energy,net_load_after_storage,net_load_before_pv,pv,net_load_after_pv,solar_to_load,solar_to_grid,solar_to_battery,battery_discharge,battery_charge_from_solar,battery_charge_from_grid,energy_price,solar_purchase_price,solar_export_price
2020-06-24 00:00:00,-1500.0,-0.0,2758.0,1258.0,0.0,1258.0,0.0,0.0,0.0,0.0,-0.0,-1500.0,0.2529,0.41,0.39
2020-06-24 01:00:00,-1500.0,1380.0,2672.0,1172.0,0.0,1172.0,0.0,0.0,0.0,0.0,-0.0,-1500.0,0.2529,0.41,0.39
2020-06-24 02:00:00,-260.86956521739114,2760.0,1358.869565217391,1098.0,0.0,1098.0,0.0,0.0,0.0,0.0,-0.0,-260.86956521739114,0.2529,0.41,0.39
2020-06-24 03:00:00,-0.0,3000.0,1130.0,1130.0,0.0,1130.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.41,0.39
2020-06-24 04:00:00,-0.0,3000.0,1004.0,1004.0,0.0,1004.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.41,0.39
2020-06-24 05:00:00,-0.0,3000.0,980.0,980.0,0.0,980.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.41,0.39
2020-06-24 06:00:00,-0.0,3000.0,958.0,1145.0,187.0,958.0,187.0,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.41,0.39
2020-06-24 07:00:00,-0.0,3000.0,950.0,1386.0,436.0,950.0,436.0,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.41,0.39
2020-06-24 08:00:00,1002.0,3000.0,0.0,1782.0,780.0,1002.0,780.0,0.0,0.0,1002.0,-0.0,0.0,1.0207,0.41,0.39
2020-06-24 09:00:00,440.0,1910.8695652173913,0.0,1397.0,957.0,440.0,957.0,0.0,0.0,440.0,-0.0,0.0,1.0207,0.41,0.39
2020-06-24 10:00:00,-338.0,1432.608695652174,0.0,1653.0,1991.0,0.0,1653.0,0.0,338.0,0.0,-338.0,0.0,1.0207,0.41,0.39
2020-06-24 11:00:00,60.0,1743.568695652174,0.0,2728.0,2668.0,60.0,2668.0,0.0,0.0,60.0,-0.0,0.0,1.0207,0.41,0.39
2020-06-24 12:00:00,-1436.574669187145,1678.3513043478263,2302.574669187145,1955.0,1089.0,866.0,1089.0,0.0,0.0,0.0,-0.0,-1436.574669187145,0.5968,0.41,0.39
2020-06-24 13:00:00,-0.0,3000.0,0.0,1286.0,1494.0,0.0,1286.0,208.0,0.0,-0.0,-0.0,0.0,0.5968,0.41,0.39
2020-06-24 14:00:00,-0.0,3000.0,1632.0,2515.0,883.0,1632.0,883.0,0.0,0.0,-0.0,-0.0,0.0,0.5968,0.41,0.39
2020-06-24 15:00:00,-0.0,3000.0,816.0,1869.0,1053.0,816.0,1053.0,0.0,0.0,-0.0,-0.0,0.0,0.5968,0.41,0.39
2020-06-24 16:00:00,-0.0,3000.0,308.0,1230.0,922.0,308.0,922.0,0.0,0.0,-0.0,-0.0,0.0,0.5968,0.41,0.39
2020-06-24 17:00:00,1246.0,3000.0,0.0,1706.0,460.0,1246.0,460.0,0.0,0.0,1246.0,-0.0,0.0,1.0207,0.41,0.39
2020-06-24 18:00:00,1094.0,1645.6521739130435,0.0,1131.0,37.0,1094.0,37.0,0.0,0.0,1094.0,-0.0,0.0,1.0207,0.41,0.39
2020-06-24 19:00:00,420.0,456.52173913043475,732.0,1162.0,10.0,1152.0,10.0,0.0,0.0,420.0,-0.0,0.0,1.0207,0.41,0.39
2020-06-24 20:00:00,0.0,-0.0,970.0,970.0,0.0,970.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0207,0.41,0.39
2020-06-24 21:00:00,0.0,-0.0,1098.0,1098.0,0.0,1098.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.5968,0.41,0.39
2020-06-24 22:00:00,0.0,-0.0,936.0,936.0,0.0,936.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.5968,0.41,0.39
2020-06-24 23:00:00,0.0,-0.0,918.0,918.0,0.0,918.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.5968,0.41,0.39
