datetime,battery_power,battery_energy,net_load_after_storage,net_load_before_pv,pv,net_load_after_pv,solar_to_load,solar_to_grid,solar_to_battery,battery_discharge,battery_charge_from_solar,battery_charge_from_grid,energy_price,solar_purchase_price,solar_export_price
2020-06-24 00:00:00,-1000.0,-0.0,2258.0,1258.0,0.0,1258.0,0.0,0.0,0.0,0.0,-0.0,-1000.0,0.2529,0.41,0.39
2020-06-24 01:00:00,-1000.0,920.0,2172.0,1172.0,0.0,1172.0,0.0,0.0,0.0,0.0,-0.0,-1000.0,0.2529,0.41,0.39
2020-06-24 02:00:00,-173.91304347826076,1840.0,1271.9130434782608,1098.0,0.0,1098.0,0.0,0.0,0.0,0.0,-0.0,-173.91304347826076,0.2529,0.41,0.39
2020-06-24 03:00:00,-0.0,2000.0,1130.0,1130.0,0.0,1130.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.41,0.39
2020-06-24 04:00:00,-0.0,2000.0,1004.0,1004.0,0.0,1004.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.41,0.39
2020-06-24 05:00:00,-0.0,2000.0,980.0,980.0,0.0,980.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.41,0.39
2020-06-24 06:00:00,-0.0,2000.0,958.0,1145.0,187.0,958.0,187.0,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.41,0.39
2020-06-24 07:00:00,-0.0,2000.0,950.0,1386.0,436.0,950.0,436.0,0.0,0.0,-0.0,-0.0,0.0,0.2529,0.41,0.39
2020-06-24 08:00:00,1000.0,2000.0,2.0,1782.0,780.0,1002.0,780.0,0.0,0.0,1000.0,-0.0,0.0,1.0207,0.41,0.39
2020-06-24 09:00:00,440.0,913.0434782608695,0.0,1397.0,957.0,440.0,957.0,0.0,0.0,440.0,-0.0,0.0,1.0207,0.41,0.39
2020-06-24 10:00:00,-338.0,434.78260869565213,0.0,1653.0,1991.0,0.0,1653.0,0.0,338.0,0.0,-338.0,0.0,1.0207,0.41,0.39
2020-06-24 11:00:00,60.0,745.7426086956522,0.0,2728.0,2668.0,60.0,2668.0,0.0,0.0,60.0,-0.0,0.0,1.0207,0.41,0.39
2020-06-24 12:00:00,-1000.0,680.5252173913043,1866.0,1955.0,1089.0,866.0,1089.0,0.0,0.0,0.0,-0.0,-1000.0,0.5968,0.41,0.39
2020-06-24 13:00:00,-434.2117202268431,1600.5252173913043,226.2117202268431,1286.0,1494.0,0.0,1286.0,0.0,208.0,0.0,-208.0,-226.2117202268431,0.5968,0.41,0.39
2020-06-24 14:00:00,-0.0,2000.0,1632.0,2515.0,883.0,1632.0,883.0,0.0,0.0,-0.0,-0.0,0.0,0.5968,0.41,0.39
2020-06-24 15:00:00,-0.0,2000.0,816.0,1869.0,1053.0,816.0,1053.0,0.0,0.0,-0.0,-0.0,0.0,0.5968,0.41,0.39
2020-06-24 16:00:00,-0.0,2000.0,308.0,1230.0,922.0,308.0,922.0,0.0,0.0,-0.0,-0.0,0.0,0.5968,0.41,0.39
2020-06-24 17:00:00,1000.0,2000.0,246.0,1706.0,460.0,1246.0,460.0,0.0,0.0,1000.0,-0.0,0.0,1.0207,0.41,0.39
2020-06-24 18:00:00,840.0,913.0434782608695,254.0,1131.0,37.0,1094.0,37.0,0.0,0.0,840.0,-0.0,0.0,1.0207,0.41,0.39
2020-06-24 19:00:00,0.0,-0.0,1152.0,1162.0,10.0,1152.0,10.0,0.0,0.0,0.0,-0.0,0.0,1.0207,0.41,0.39
2020-06-24 20:00:00,0.0,-0.0,970.0,970.0,0.0,970.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0207,0.41,0.39
2020-06-24 21:00:00,0.0,-0.0,1098.0,1098.0,0.0,1098.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.5968,0.41,0.39
2020-06-24 22:00:00,0.0,-0.0,936.0,936.0,0.0,936.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.5968,0.41,0.39
2020-06-24 23:00:00,0.0,-0.0,918.0,918.0,0.0,918.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.5968,0.41,0.39
