datetime,battery_power,battery_energy,net_load_after_storage,net_load_before_pv,pv,net_load_after_pv,solar_to_load,solar_to_grid,solar_to_battery
2020-03-17 00:00:00,-600.0,-0.0,1768.0,1168.0,0.0,1168.0,0.0,0.0,0.0
2020-03-17 01:00:00,-600.0,600.0,1722.0,1122.0,0.0,1122.0,0.0,0.0,0.0
2020-03-17 02:00:00,-0.0,1200.0,1110.0,1110.0,0.0,1110.0,0.0,0.0,0.0
2020-03-17 03:00:00,-0.0,1200.0,976.0,976.0,0.0,976.0,0.0,0.0,0.0
2020-03-17 04:00:00,-0.0,1200.0,1148.0,1148.0,0.0,1148.0,0.0,0.0,0.0
2020-03-17 05:00:00,-0.0,1200.0,1098.0,1098.0,0.0,1098.0,0.0,0.0,0.0
2020-03-17 06:00:00,-0.0,1200.0,1344.0,1344.0,0.0,1344.0,0.0,0.0,0.0
2020-03-17 07:00:00,-0.0,1200.0,1660.0,1899.0,239.0,1660.0,239.0,0.0,0.0
2020-03-17 08:00:00,600.0,1200.0,432.0,2022.0,990.0,1032.0,990.0,0.0,0.0
2020-03-17 09:00:00,368.0,600.0,0.0,2014.0,1646.0,368.0,1646.0,0.0,0.0
2020-03-17 10:00:00,232.0,232.0,1072.0,3564.0,2260.0,1304.0,2260.0,0.0,0.0
2020-03-17 11:00:00,-324.0,-0.0,0.0,1745.0,2069.0,0.0,1745.0,0.0,324.0
2020-03-17 12:00:00,-600.0,324.0,0.0,1851.0,2809.0,0.0,1851.0,358.0,600.0
2020-03-17 13:00:00,-276.0,924.0,0.0,1502.0,2676.0,0.0,1502.0,898.0,276.0
2020-03-17 14:00:00,-0.0,1200.0,0.0,1698.0,2416.0,0.0,1698.0,718.0,0.0
2020-03-17 15:00:00,-0.0,1200.0,128.0,2271.0,2143.0,128.0,2143.0,0.0,0.0
2020-03-17 16:00:00,-0.0,1200.0,454.0,1753.0,1299.0,454.0,1299.0,0.0,0.0
2020-03-17 17:00:00,600.0,1200.0,322.0,1396.0,474.0,922.0,474.0,0.0,0.0
2020-03-17 18:00:00,600.0,600.0,628.0,1242.0,14.0,1228.0,14.0,0.0,0.0
2020-03-17 19:00:00,0.0,-0.0,1254.0,1254.0,0.0,1254.0,0.0,0.0,0.0
2020-03-17 20:00:00,0.0,-0.0,1184.0,1184.0,0.0,1184.0,0.0,0.0,0.0
2020-03-17 21:00:00,0.0,-0.0,1052.0,1052.0,0.0,1052.0,0.0,0.0,0.0
2020-03-17 22:00:00,0.0,-0.0,1114.0,1114.0,0.0,1114.0,0.0,0.0,0.0
2020-03-17 23:00:00,0.0,-0.0,1268.0,1268.0,0.0,1268.0,0.0,0.0,0.0
